recipe_slug	score_estimate
falafel	0.45531489156792854
spamburger	0.5043997269707934
bacon-fried-rice	0.9920352043871289
chicken-fingers	0.48912084659527194
apple-crisp	1.010575815302959
cranberry-apple-crisp	0.9730955645036679
bacon-chocolate-chip-cookies	0.9878826392886516
sujebi	0.4694684201574813
pasta-primavera	0.4977264572410186
ramen	0.02095170397835054
brownies	0.919423227361815
bacon-wrapped-scallops	0.93299586981425
bacon-egg-muffins	0.9684515592172326
breakfast-burritos	0.5668395169829809
bolognese-sauce	0.48425524767387873
croissants	0.942648723758489
bacon-souffle	1.017635688003752
souffle	0.9430905937463813
chocolate-souffle	1.0016492525721032
butter-croissants	0.9284238701045969
pickled-green-beans	0.049958071210425045
fried-oysters	0.10063136006320435
peanut-butter-brownies	0.9669828984561171
almond-chip-cookies	0.9906834506715534
guacamole	0.47119166189511613
brioche-bread	0.9484169956002322
brioche-bread-with-chocolate	1.0324653914815356
asparagus-quiche	0.9705358614383668
asparagus-burger	0.49270213509231614
ma-la-chicken	0.05597792913296528
cold-noodles-with-tomatoes	0.47049303661828445
tamales	0.5033889044938034
enchiladas	0.4837144818466719
tacos	0.5056894453427963
burritos	0.5100267245183414
peanut-butter-cupcakes	0.9822228517881035
pickled-asparagus	0.12255004766165956
chocolate-peanut-butter-cake	1.0003624564114155
udon	0.09334129613824989
vegetable-lasagna	0.49855314711293547
maple-bacon-donuts	1.008302395040446
maple-bacon-pancakes	0.9564630207597824
spinach-and-ricotta-stuffed-shells	0.4957841233764942
quesadillas	0.5136829393507563
pico-de-gallo	0.45233560770337694
nachos	0.49729531458210946
cold-soba-noodles-with-tomato-and-cucumber	0.06606873424333147
fajitas	0.4874090924641858
loaded-nachos	0.4783659273584398
lasagna	0.5287999129515398
chicken-nuggets	0.493587634230677
pain-au-chocolat	0.5365619415642684
nacho-dip	0.518044470999865
nacho-salad	0.4960017192003696
nacho-casserole	0.5155582782880871
nacho-fries	0.49378238990279943
tempura-udon	0.06577318069136698
peach-crisp	0.9691868282487435
apple-pie	1.0061073836071255
blueberry-crisp	1.0442804494673414
berry-crumble	1.0260514069269722
strawberry-rhubarb-crisp	0.9811636130610407
peach-cobbler	0.9341420485281173
cranberry-sauce	0.49035178885203645
cherry-cobbler	1.0023825163663267
apple-crumble	1.0041845403615337
chocolate-croissants	1.0444992848561125
french-toast	0.6583213474134745
chocolate-babka	1.0097630964999127
cinnamon-babka	0.9346307895825464
blueberry-crumble	0.9401600978964846
spam-musubi	0.479140754759368
taco-salad	0.5072006508017686
chiles-rellenos	0.4764191993957989
almond-croissants	0.9821930148477968
cranberry-relish	0.4903517888520364
ma-la-beef	0.06284395453678453
chocolate-cake	0.9751465597392337
spinach-quiche	1.0017598174348004
mushroom-quiche	0.9639619381686197
quiche-lorraine	1.0027616990114776
croissant-aux-amandes	0.9254612949763751
danishes	0.5728925796731749
spinach-and-feta-quiche	0.9431205661734668
cold-sesame-noodles	0.4828073272290732
soba-noodle-salad-with-peanut-dressing	0.052511292310146104
dan-dan-noodles	0.447278291882258
vanilla-souffle	0.9720076713435659
bacon-wrapped-dates	0.9607135101721587
cherry-pie	0.9729723572078864
berry-crisp	0.9718041986014015
bacon-and-egg-breakfast-sandwich	0.9507266556420211
bacon-wrapped-shrimp-skewers	0.5273520936350151
bacon-wrapped-chicken	0.9899470535603794
bacon-wrapped-asparagus	0.9109073356779479
bacon-mac-and-cheese	0.9691699302803142
chicken-alfredo-lasagna	0.489899172260986
classic-beef-lasagna	0.4935582263625271
vegetarian-mushroom-lasagna	0.5119022822631925
spinach-and-ricotta-lasagna	0.502000289533805
